,mean,std,min,max
ssn_address_count_0_by_14,13.908381849999962,0.8002783382362003,1.75,14.0
ssn_address_count_0_by_30,29.597887656926403,2.44775870968433,2.7272727272727275,30.0
ssn_address_count_1_by_3,2.9970318,0.06669527147384272,0.75,3.0
ssn_address_count_1_by_7,6.979940566666668,0.26489496109750726,1.1666666666666667,7.0
ssn_address_count_1_by_14,13.914970716666641,0.7706671227429017,1.75,14.0
ssn_address_count_1_by_30,29.61178783549783,2.404853920246135,2.7272727272727275,30.0
ssn_zip5_count_0_by_3,2.9955908,0.08133037913410483,0.75,3.0
ssn_zip5_count_0_by_7,6.976541016666663,0.28663062793278554,1.1666666666666667,7.0
ssn_zip5_count_0_by_14,13.908097183333297,0.8014761800298547,1.75,14.0
ssn_zip5_count_0_by_30,29.596807656926405,2.4509494052605594,2.7272727272727275,30.0
ssn_zip5_count_1_by_3,2.9970228,0.06679600094197902,0.75,3.0
ssn_zip5_count_1_by_7,6.979856566666668,0.26544295745872776,1.1666666666666667,7.0
ssn_zip5_count_1_by_14,13.914674383333306,0.7719861115926908,1.75,14.0
ssn_zip5_count_1_by_30,29.61068283549783,2.408212661710147,2.7272727272727275,30.0
ssn_dob_count_0_by_3,2.992141593730659,0.11601332848138227,0.13636363636363638,3.0
ssn_dob_count_0_by_7,6.96843621236854,0.35141583111519387,0.3181818181818182,7.000000000000001
ssn_dob_count_0_by_14,13.894863264600623,0.890957417712128,0.6363636363636364,14.000000000000002
ssn_dob_count_0_by_30,29.58605745476987,2.539724436718057,1.3636363636363638,30.000000000000004
ssn_dob_count_1_by_3,2.9956837254247533,0.0797482648212074,0.42857142857142855,3.0
ssn_dob_count_1_by_7,6.976263664059496,0.29258543315111357,0.5,7.000000000000001
ssn_dob_count_1_by_14,13.910235390908625,0.8030870890458933,0.875,14.000000000000002
ssn_dob_count_1_by_30,29.618638697079483,2.404526848336954,1.7647058823529411,30.000000000000004
ssn_homephone_count_0_by_3,2.9957797999999998,0.07957550656011993,0.75,3.0
ssn_homephone_count_0_by_7,6.977586349999997,0.28023702050487825,1.1666666666666667,7.0
ssn_homephone_count_0_by_14,13.912312349999963,0.783319228894976,1.75,14.0
ssn_homephone_count_0_by_30,29.615912656926405,2.3945957263523443,2.7272727272727275,30.0
ssn_homephone_count_1_by_3,2.9971463,0.06540776463482607,0.75,3.0
ssn_homephone_count_1_by_7,6.9807514,0.2595653715485929,1.1666666666666667,7.0
ssn_homephone_count_1_by_14,13.918589716666641,0.7545092745147709,1.75,14.0
ssn_homephone_count_1_by_30,29.62916083549783,2.352763402615811,2.7272727272727275,30.0
ssn_name_count_0_by_3,2.991748593730659,0.11850215952736111,0.13636363636363638,3.0
ssn_name_count_0_by_7,6.966220712368541,0.36208841576366396,0.3181818181818182,7.000000000000001
ssn_name_count_0_by_14,13.88611793126729,0.9237367100036513,0.6363636363636364,14.000000000000002
ssn_name_count_0_by_30,29.547010954769867,2.6471035825730778,1.3636363636363638,30.000000000000004
ssn_name_count_1_by_3,2.995428725424753,0.08210066868014161,0.42857142857142855,3.0
ssn_name_count_1_by_7,6.97436899739283,0.30354788532519744,0.5,7.000000000000001
ssn_name_count_1_by_14,13.902134057575289,0.8368515952786238,0.875,14.000000000000002
ssn_name_count_1_by_30,29.580967197079485,2.514285208080202,1.7647058823529411,30.000000000000004
ssn_fulladdress_count_0_by_3,2.9956058,0.08119274966768089,0.75,3.0
ssn_fulladdress_count_0_by_7,6.976674016666663,0.2858283380125016,1.1666666666666667,7.0
ssn_fulladdress_count_0_by_14,13.90861051666663,0.7992765745048859,1.75,14.0
ssn_fulladdress_count_0_by_30,29.599132656926404,2.4440841623208502,2.7272727272727275,30.0
ssn_fulladdress_count_1_by_3,2.9970363,0.06664484919270229,0.75,3.0
ssn_fulladdress_count_1_by_7,6.979986066666668,0.2645976447266188,1.1666666666666667,7.0
ssn_fulladdress_count_1_by_14,13.91518071666664,0.7697289080806314,1.75,14.0
ssn_fulladdress_count_1_by_30,29.61299283549783,2.4012562336790984,2.7272727272727275,30.0
ssn_name_dob_count_0_by_3,2.992161093730659,0.11588851735130315,0.13636363636363638,3.0
ssn_name_dob_count_0_by_7,6.968544712368541,0.35088484372422324,0.3181818181818182,7.000000000000001
ssn_name_dob_count_0_by_14,13.89529493126729,0.8892864986547679,0.6363636363636364,14.000000000000002
ssn_name_dob_count_0_by_30,29.58823995476987,2.533415881443235,1.3636363636363638,30.000000000000004
ssn_name_dob_count_1_by_3,2.995695725424753,0.07963597912279846,0.42857142857142855,3.0
ssn_name_dob_count_1_by_7,6.976354664059495,0.2920480219245631,0.5,7.000000000000001
ssn_name_dob_count_1_by_14,13.910634390908625,0.8013840863843189,0.875,14.000000000000002
ssn_name_dob_count_1_by_30,29.620751197079482,2.398072115734222,1.7647058823529411,30.000000000000004
ssn_unique_count_for_address_1,1.013455,0.3793205858651949,1.0,34.0
ssn_unique_count_for_address_3,1.016676,0.419113453229805,1.0,34.0
ssn_unique_count_for_address_7,1.019058,0.4452830458404835,1.0,34.0
ssn_unique_count_for_address_14,1.020685,0.46202959239522046,1.0,34.0
ssn_unique_count_for_address_30,1.022356,0.4801296072834528,1.0,34.0
ssn_unique_count_for_address_60,1.024586,0.5147541098190107,1.0,34.0
ssn_unique_count_for_dob_1,1.000238,0.016671641609312438,1.0,4.0
ssn_unique_count_for_dob_3,1.000559,0.02804796437700654,1.0,5.0
ssn_unique_count_for_dob_7,1.0012,0.04581006547210779,1.0,8.0
ssn_unique_count_for_dob_14,1.002289,0.07323773510157228,1.0,11.0
ssn_unique_count_for_dob_30,1.004602,0.1215764630878684,1.0,15.0
ssn_unique_count_for_dob_60,1.008675,0.20671668318417669,1.0,22.0
ssn_unique_count_for_homephone_1,1.013521,0.3794052273062691,1.0,34.0
ssn_unique_count_for_homephone_3,1.016819,0.4192806900290563,1.0,34.0
ssn_unique_count_for_homephone_7,1.019356,0.4456091828400836,1.0,34.0
ssn_unique_count_for_homephone_14,1.021268,0.4626422875343196,1.0,34.0
ssn_unique_count_for_homephone_30,1.02359,0.4813976980091624,1.0,34.0
ssn_unique_count_for_homephone_60,1.02691,0.5170571721265717,1.0,34.0
ssn_unique_count_for_name_1,1.000108,0.012165051746294606,1.0,4.0
ssn_unique_count_for_name_3,1.000261,0.02238151871356743,1.0,5.0
ssn_unique_count_for_name_7,1.000539,0.039021929754029606,1.0,8.0
ssn_unique_count_for_name_14,1.001023,0.06661799988767486,1.0,11.0
ssn_unique_count_for_name_30,1.001997,0.11778380985457552,1.0,17.0
ssn_unique_count_for_name_60,1.003714,0.21522604983333252,1.0,27.0
ssn_unique_count_for_fulladdress_1,1.013461,0.37932828179782335,1.0,34.0
ssn_unique_count_for_fulladdress_3,1.016685,0.419123831869888,1.0,34.0
ssn_unique_count_for_fulladdress_7,1.019077,0.44530356653474557,1.0,34.0
ssn_unique_count_for_fulladdress_14,1.020722,0.462067973600506,1.0,34.0
